batter,total_runs,balls_faced,boundaries,strike_rate
SM Pollock,147.0,111,20,132.43243243243242
S Vidyut,145.0,109,24,133.0275229357798
Sachin Baby,144.0,115,16,125.21739130434784
V Nigam,142.0,78,24,182.05128205128204
M Jansen,141.0,129,14,109.30232558139534
N Saini,140.0,140,16,100.0
Anmolpreet Singh,139.0,115,22,120.8695652173913
SB Dubey,139.0,84,19,165.47619047619045
S Anirudha,136.0,112,16,121.42857142857142
SB Styris,131.0,132,13,99.24242424242425
W Jaffer,130.0,121,17,107.43801652892562
RD Chahar,129.0,124,18,104.03225806451613
Kamran Akmal,128.0,77,21,166.23376623376623
TK Curran,127.0,107,13,118.69158878504673
UT Khawaja,127.0,99,17,128.2828282828283
P Dogra,127.0,138,9,92.02898550724638
M Morkel,126.0,89,16,141.57303370786516
SS Prabhudessai,126.0,105,15,120.0
MC Juneja,125.0,128,12,97.65625
BB Samantray,125.0,113,15,110.61946902654867
MM Sharma,125.0,136,13,91.91176470588235
B Lee,124.0,96,16,129.16666666666669
Harpreet Singh,123.0,118,13,104.23728813559323
AB McDonald,123.0,100,13,123.0
NK Patel,121.0,119,15,101.68067226890756
DL Vettori,121.0,112,13,108.03571428571428
AC Blizzard,120.0,90,23,133.33333333333331
TG Southee,120.0,106,12,113.20754716981132
Arshad Khan,119.0,84,14,141.66666666666669
RJ Harris,117.0,111,9,105.40540540540539
Z Khan,117.0,140,13,83.57142857142857
Misbah-ul-Haq,117.0,81,16,144.44444444444443
DL Chahar,117.0,84,13,139.28571428571428
MW Short,117.0,92,19,127.17391304347827
KK Cooper,116.0,67,17,173.13432835820893
DJM Short,115.0,99,16,116.16161616161615
Aman Hakim Khan,115.0,104,14,110.57692307692308
M Kartik,113.0,107,8,105.60747663551402
Mohammed Siraj,112.0,121,14,92.56198347107438
MA Starc,111.0,119,11,93.27731092436974
DJ Harris,111.0,101,16,109.9009900990099
MJ Santner,110.0,103,12,106.79611650485437
LJ Wright,106.0,59,19,179.66101694915255
JDP Oram,106.0,107,11,99.06542056074767
DS Kulkarni,104.0,108,9,96.29629629629629
RJ Quiney,103.0,102,15,100.98039215686273
Azmatullah Omarzai,99.0,74,13,133.7837837837838
MS Gony,99.0,70,14,141.42857142857144
SD Chitnis,99.0,88,12,112.5
MJ Clarke,98.0,94,12,104.25531914893618
CJ Ferguson,98.0,117,9,83.76068376068376
PN Mankad,97.0,72,15,134.72222222222223
PHKD Mendis,92.0,68,9,135.29411764705884
DJ Jacobs,92.0,98,14,93.87755102040816
PR Shah,92.0,90,11,102.22222222222221
JDS Neesham,92.0,93,8,98.9247311827957
S Rana,91.0,79,10,115.18987341772151
RT Ponting,91.0,128,7,71.09375
AJ Tye,91.0,75,11,121.33333333333334
AD Nath,90.0,98,9,91.83673469387756
Iqbal Abdulla,88.0,82,10,107.31707317073172
SL Malinga,88.0,99,11,88.88888888888889
Ankit Sharma,87.0,67,11,129.8507462686567
AP Majumdar,87.0,76,9,114.4736842105263
TA Boult,85.0,81,8,104.93827160493827
MJ McClenaghan,85.0,69,12,123.18840579710144
Mohammed Shami,84.0,89,9,94.3820224719101
RE Levi,83.0,73,14,113.69863013698631
NM Coulter-Nile,82.0,72,11,113.88888888888889
LA Carseldine,81.0,66,11,122.72727272727273
WPUJC Vaas,81.0,72,5,112.5
PWH de Silva,81.0,88,8,92.04545454545455
CJ Jordan,81.0,77,6,105.1948051948052
Shahid Afridi,81.0,46,13,176.08695652173913
RV Patel,80.0,73,8,109.58904109589041
AD Mascarenhas,79.0,78,6,101.28205128205127
JR Philippe,78.0,77,10,101.29870129870129
CR Woakes,78.0,77,9,101.29870129870129
B Akhil,76.0,55,10,138.1818181818182
IR Jaggi,76.0,97,6,78.35051546391753
TR Birt,75.0,57,11,131.57894736842107
M Klinger,73.0,75,9,97.33333333333334
RR Sarwan,73.0,75,7,97.33333333333334
LH Ferguson,72.0,46,9,156.52173913043478
SK Rasheed,71.0,63,11,112.6984126984127
